logistic_regression,knn,decision_tree,random_forest,ada_boost,gradient_boost,xgboost,cat_boost,extra_trees,lgbm,voting
0.696576045712245,0.8410946539203218,0.9308185477858953,0.9351281346885915,0.9303365760930336,0.8566752004029043,0.9773838630806846,0.9953477902003451,0.9326217478318879,0.9382427283359113,0.9504268149424387
0.695837683264491,0.8378556701030928,0.9227989611171754,0.9343013568198049,0.924441425120773,0.8549242584970508,0.9774094063222821,0.9933619087357282,0.9319388321052214,0.9528330548382196,0.9483114000317108
0.6978734907190486,0.8464169448221864,0.9292511377741001,0.9344697720515361,0.9300244406843391,0.8711286199237248,0.9742837284732411,0.9937902309731163,0.932318909494373,0.9477069137125794,0.9507303592577971
0.6952883390940514,0.8365000206075092,0.9325821596244132,0.9340342278961306,0.9322072072072072,0.8831686456862908,0.9776754890678941,0.9941123188405797,0.9306273936905279,0.9455270830136566,0.9499842470069313
0.6926667265056997,0.8363113575682891,0.9288968556277541,0.9335011207676275,0.9286942222886615,0.8358983079670097,0.975967600198678,0.9929775808329265,0.9308067306180217,0.9465048325466398,0.9467111721971334
0.695365434998645,0.8394695659336133,0.9266609145815358,0.9319665967467448,0.927992799279928,0.8693167493066645,0.9752843647580489,0.9942122186495177,0.9304626588039736,0.9286538389966131,0.9493935922253388
0.6931812998859749,0.8399933676007296,0.9350786525331021,0.9359141827969757,0.9352040431470168,0.8742830828484113,0.9765914709517924,0.993850125275226,0.9311532523061088,0.9514945138100643,0.9527347454947833
0.694843312562088,0.8401287553648068,0.9294361682066755,0.9345735206807838,0.9303728276850001,0.8762008186450589,0.9746596212442628,0.9927267217213425,0.9299726548567353,0.9432693760386766,0.9504520510087251
0.6911395868484654,0.8399818114174694,0.9275898520084567,0.9325993980674798,0.9267739741555203,0.870142892955628,0.9771362586605082,0.9941715237302248,0.9326699048296015,0.9400838147015517,0.9509877370766138
0.6948167802735716,0.8400132494203378,0.9301781400966184,0.9366726296958855,0.9290916638363711,0.8758109360518999,0.9784717659335986,0.9932599672518183,0.9336990221798235,0.9485618627301782,0.9514139531194225
0.697315923104824,0.8414498371201189,0.9283041687138591,0.9332484177845003,0.9289927404718693,0.8792629033602936,0.9767244045777915,0.9945297067314998,0.9314916249900771,0.9542299183766878,0.9534047346164486
